price,location,area
2100000,"Ansam 3, Ansam, Yas Island, Abu Dhabi",1230
3600000,"Ajwan Towers, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",2500
3600000,"Ajwan Towers, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",2500
793000,"Royal Park, Masdar City, Abu Dhabi",840
793000,"Royal Park, Masdar City, Abu Dhabi",840
480000,"Royal Park, Masdar City, Abu Dhabi",485
480000,"Royal Park, Masdar City, Abu Dhabi",485
850000,"Vista 3, Al Reem Island, Abu Dhabi",544
850000,"Vista 3, Al Reem Island, Abu Dhabi",544
600000,"Vista 3, Al Reem Island, Abu Dhabi",513
600000,"Vista 3, Al Reem Island, Abu Dhabi",513
2110000,"Lamar Residence, Al Raha Beach, Abu Dhabi",1748
2110000,"Lamar Residence, Al Raha Beach, Abu Dhabi",1748
1190000,"Lamar Residence, Al Raha Beach, Abu Dhabi",1030
1190000,"Lamar Residence, Al Raha Beach, Abu Dhabi",1030
1576894,"Gardenia Bay, Yas Island, Abu Dhabi",820
1576894,"Gardenia Bay, Yas Island, Abu Dhabi",820
905000,"Vista 3, Al Reem Island, Abu Dhabi",815
905000,"Vista 3, Al Reem Island, Abu Dhabi",815
1432982,"Gardenia Bay, Yas Island, Abu Dhabi",874
1432982,"Gardenia Bay, Yas Island, Abu Dhabi",874
604724,"Royal Park, Masdar City, Abu Dhabi",573
604724,"Royal Park, Masdar City, Abu Dhabi",573
4500000,"Fairmont Marina Residences, The Marina, Abu Dhabi",1518
4500000,"Fairmont Marina Residences, The Marina, Abu Dhabi",1518
793687,"Royal Park, Masdar City, Abu Dhabi",840
793687,"Royal Park, Masdar City, Abu Dhabi",840
1250000,"Water's Edge, Yas Island, Abu Dhabi",1070
1250000,"Water's Edge, Yas Island, Abu Dhabi",1070
677640,"Diva, Yas Island, Abu Dhabi",514
677640,"Diva, Yas Island, Abu Dhabi",514
1030755,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",906
1030755,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",906
630000,"Radiant Square, City of Lights, Al Reem Island, Abu Dhabi",488
630000,"Radiant Square, City of Lights, Al Reem Island, Abu Dhabi",488
1890000,"The Bridges, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1356
1890000,"The Bridges, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",1356
1400000,"Water's Edge, Yas Island, Abu Dhabi",1070
1400000,"Water's Edge, Yas Island, Abu Dhabi",1070
1000000,"Water's Edge, Yas Island, Abu Dhabi",699
1000000,"Water's Edge, Yas Island, Abu Dhabi",699
1270000,"Reem Hills, Al Reem Island, Abu Dhabi",1331
1270000,"Reem Hills, Al Reem Island, Abu Dhabi",1331
2836056,"Gardenia Bay, Yas Island, Abu Dhabi",1590
2836056,"Gardenia Bay, Yas Island, Abu Dhabi",1590
